,O,H,L,C,V,date
283,9111.98,9232.3,9015.39,9186.63,3748.500799,2020-06-29 02:00:00
284,9186.95,9199.81,9055.92,9134.64,2977.998007,2020-06-30 02:00:00
285,9134.52,9292.92,9086.56,9232.97,3184.946221,2020-07-01 02:00:00
286,9232.98,9263.76,8935.95,9086.99,4205.59518,2020-07-02 02:00:00
287,9086.99,9123.12,9030.0,9056.24,2460.307218,2020-07-03 02:00:00
288,9057.45,9191.47,9042.81,9137.72,2121.413342,2020-07-04 02:00:00
289,9137.28,9145.09,8904.69,9073.03,2595.663516,2020-07-05 02:00:00
290,9073.03,9372.63,9059.49,9343.16,4013.943409,2020-07-06 02:00:00
291,9343.08,9377.78,9204.08,9256.05,3195.815534,2020-07-07 02:00:00
292,9256.13,9472.0,9231.58,9439.67,4179.742978,2020-07-08 02:00:00
293,9439.7,9443.67,9156.51,9231.53,4078.111798,2020-07-09 02:00:00
294,9231.39,9315.0,9118.89,9286.71,3646.3298,2020-07-10 02:00:00
295,9287.04,9298.74,9178.88,9231.22,1887.363792,2020-07-11 02:00:00
296,9231.22,9349.8,9156.96,9301.96,2524.40515,2020-07-12 02:00:00
297,9301.96,9340.0,9197.44,9235.92,3666.962869,2020-07-13 02:00:00
298,9235.91,9274.61,9106.11,9253.41,3368.658475,2020-07-14 02:00:00
299,9253.42,9272.66,9151.22,9187.9,3103.904675,2020-07-15 02:00:00
300,9187.97,9216.91,9031.87,9127.31,3793.180246,2020-07-16 02:00:00
301,9127.34,9177.2,9078.43,9151.61,2580.002536,2020-07-17 02:00:00
302,9151.57,9210.73,9120.46,9172.42,2158.988958,2020-07-18 02:00:00
303,9172.31,9235.0,9102.3,9211.93,2575.055822,2020-07-19 02:00:00
304,9211.53,9223.04,9129.49,9162.54,3610.202901,2020-07-20 02:00:00
305,9162.51,9438.0,9153.48,9396.79,4844.667278,2020-07-21 02:00:00
306,9396.79,9563.06,9277.67,9532.6,4988.502125,2020-07-22 02:00:00
307,9532.19,9676.62,9449.11,9613.95,6130.665443,2020-07-23 02:00:00
308,9613.81,9647.48,9474.98,9550.42,6338.365278,2020-07-24 02:00:00
309,9550.41,9747.18,9535.46,9710.08,6158.644522,2020-07-25 02:00:00
310,9710.16,10170.7,9659.05,9939.36,10394.83725,2020-07-26 02:00:00
311,9939.38,11420.86,9931.61,11050.92,21488.792295,2020-07-27 02:00:00
312,11050.92,11262.77,10577.0,10925.77,14908.004444,2020-07-28 02:00:00
313,10925.48,11352.63,10850.0,11111.67,9473.723315,2020-07-29 02:00:00
314,11111.67,11187.91,10828.27,11109.09,8820.895838,2020-07-30 02:00:00
315,11109.16,11458.39,10968.53,11352.64,9253.304855,2020-07-31 02:00:00
316,11352.34,11883.03,11235.0,11815.45,12562.623644,2020-08-01 02:00:00
317,11815.91,12120.69,10540.74,11071.15,14868.67785,2020-08-02 02:00:00
318,11071.52,11482.96,10935.33,11229.96,7278.517523,2020-08-03 02:00:00
319,11230.17,11424.2,11009.82,11197.44,8853.907605,2020-08-04 02:00:00
320,11197.83,11797.0,11090.0,11756.82,8907.69741,2020-08-05 02:00:00
321,11756.98,11913.01,11574.15,11771.4,7669.319543,2020-08-06 02:00:00
322,11771.25,11920.0,11327.7,11605.37,8444.213843,2020-08-07 02:00:00
323,11606.02,11818.52,11524.24,11769.85,4879.676433,2020-08-08 02:00:00
324,11769.85,11808.49,11531.92,11688.44,5370.785333,2020-08-09 02:00:00
325,11688.45,12079.67,11525.0,11901.25,8346.087722,2020-08-10 02:00:00
