,2K-mean,KNN,2KNN,Actual_price,Error
348,10300.900000000001,10146.86,10454.94,10166.07,-134.83000000000175
349,10310.505000000001,10454.94,10166.07,10256.89,-53.6150000000016
350,10211.48,10166.07,10256.89,10373.32,161.84000000000015
351,10315.105,10256.89,10373.32,10123.64,-191.46500000000015
352,10248.48,10373.32,10123.64,10221.79,-26.68999999999869
353,10172.715,10123.64,10221.79,10340.34,167.625
354,10281.065,10221.79,10340.34,10392.25,111.18499999999949
355,10366.295,10340.34,10392.25,10440.74,74.44499999999971
356,10416.494999999999,10392.25,10440.74,10332.3,-84.19499999999971
357,10386.52,10440.74,10332.3,10676.2,289.6800000000003
358,10504.25,10332.3,10676.2,10783.09,278.84000000000015
359,10729.645,10676.2,10783.09,10953.89,224.24499999999898
360,10868.49,10783.09,10953.89,10941.82,73.32999999999993
361,10947.855,10953.89,10941.82,10934.8,-13.055000000000291
362,10938.31,10941.82,10934.8,11080.75,142.4400000000005
363,11007.775,10934.8,11080.75,10916.66,-91.11499999999978
364,10998.705,11080.75,10916.66,10414.57,-584.1350000000002
365,10665.615,10916.66,10414.57,10528.77,-136.84499999999935
366,10471.67,10414.57,10528.77,10237.57,-234.10000000000036
367,10383.17,10528.77,10237.57,10738.81,355.6399999999994
368,10488.189999999999,10237.57,10738.81,10691.01,202.82000000000153
369,10714.91,10738.81,10691.01,10729.62,14.710000000000946
370,10710.315,10691.01,10729.62,10774.39,64.07499999999891
371,10752.005000000001,10729.62,10774.39,10692.83,-59.17500000000109
372,10733.61,10774.39,10692.83,10839.1,105.48999999999978
373,10765.965,10692.83,10839.1,10775.29,9.325000000000728
374,10807.195,10839.1,10775.29,10616.08,-191.11499999999978
375,10695.685000000001,10775.29,10616.08,10571.16,-124.52500000000146
376,10593.619999999999,10616.08,10571.16,10544.79,-48.82999999999811
377,10557.975,10571.16,10544.79,10669.49,111.51499999999942
378,10607.14,10544.79,10669.49,10793.1,185.96000000000095
379,10731.295,10669.49,10793.1,10596.59,-134.70499999999993
380,10694.845000000001,10793.1,10596.59,10667.35,-27.4950000000008
381,10631.970000000001,10596.59,10667.35,10928.65,296.6799999999985
382,10798.0,10667.35,10928.65,11056.07,258.0699999999997
383,10992.36,10928.65,11056.07,11299.03,306.6700000000001
384,11177.55,11056.07,11299.03,11371.42,193.8700000000008
385,11335.225,11299.03,11371.42,11534.33,199.10499999999956
386,11452.875,11371.42,11534.33,11423.7,-29.174999999999272
387,11479.015,11534.33,11423.7,11423.82,-55.19499999999971
388,11423.76,11423.7,11423.82,11508.92,85.15999999999985
389,11466.369999999999,11423.82,11508.92,11324.19,-142.17999999999847
390,11416.555,11508.92,11324.19,11364.2,-52.35499999999956
391,11344.195,11324.19,11364.2,11507.76,163.5650000000005
392,11435.98,11364.2,11507.76,11756.61,320.630000000001
393,11632.185000000001,11507.76,11756.61,11919.63,287.4449999999979
394,11838.119999999999,11756.61,11919.63,12810.5,972.380000000001
395,12365.064999999999,11919.63,12810.5,12984.4,619.335000000001
396,12897.45,12810.5,12984.4,12935.42,37.969999999999345
397,12959.91,12984.4,12935.42,13124.86,164.95000000000073
398,13030.14,12935.42,13124.86,13041.86,11.720000000001164
399,13083.36,13124.86,13041.86,13067.01,-16.350000000000364
400,13054.435000000001,13041.86,13067.01,13644.77,590.3349999999991
401,13355.89,13067.01,13644.77,13270.0,-85.88999999999942
402,13457.385,13644.77,13270.0,13464.57,7.184999999999491
403,13367.285,13270.0,13464.57,13569.51,202.22500000000036
404,13517.04,13464.57,13569.51,13803.15,286.10999999999876
405,13686.33,13569.51,13803.15,13768.97,82.63999999999942
406,13786.06,13803.15,13768.97,13563.0,-223.0599999999995
407,13665.985,13768.97,13563.0,14030.64,364.65499999999884
408,13796.82,13563.0,14030.64,14159.15,362.3299999999999
409,14094.895,14030.64,14159.15,15612.81,1517.914999999999
410,14885.98,14159.15,15612.81,15599.89,713.9099999999999
